canonical_name,total_mentions,document_count,tiers_present,profiles_present,parent_headers
Umbilical cord blood,14,14,2,ppo_medical,Oncology Clinical Trials
Travel and Lodging,14,14,2,ppo_medical,Oncology Clinical Trials
An admission to a designated center or a length of stay at a designated center that has not been preapproved,14,14,2,ppo_medical,Oncology Clinical Trials
Services that have not been preapproved,14,14,2,ppo_medical,Oncology Clinical Trials
Services provided by persons or entities that are not legally qualified or licensed to provide such services,14,14,2,ppo_medical,Oncology Clinical Trials
Donor services for a transplant recipient who is not a BCBSM member,14,14,2,ppo_medical,Oncology Clinical Trials
Services rendered to a donor when the donor’s health care coverage will pay for such services,14,14,2,ppo_medical,Oncology Clinical Trials
"The routine harvesting and storage costs of bone marrow, peripheral blood stem cells or a newborn’s umbilical cord blood if not intended for transplant within one year",14,14,2,ppo_medical,Oncology Clinical Trials
More than two single transplants per member for the same condition,14,14,2,ppo_medical,Oncology Clinical Trials
Non-health care related services and/or research management (such as administrative costs),14,14,2,ppo_medical,Oncology Clinical Trials
Search of an international donor registry,14,14,2,ppo_medical,Oncology Clinical Trials
Experimental treatment not included in this certificate,14,14,2,ppo_medical,Oncology Clinical Trials
"Items or services that are normally covered by other funding sources (e.g., investigational drugs funded by a drug company)",14,14,2,ppo_medical,Oncology Clinical Trials
"Any other services, admissions or length of stay related to any of the above exclusions",14,14,2,ppo_medical,Oncology Clinical Trials
Covered services are provided within the state of Michigan.,14,14,2,ppo_medical,Optometrist Services
Routine eye exams or services,14,14,2,ppo_medical,Optometrist Services
Outpatient Diabetes Management Program (ODMP),14,14,1,ppo_medical,
"Diabetes self-management training conducted in a group setting, whenever practicable, if",14,14,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Pain Management,14,14,1,ppo_medical,
Services and devices for pain management provided by a nonparticipating hospital or facility.,14,14,2,ppo_medical,Pain Management
"Tests to measure physical capacities such as strength, dexterity, coordination or stamina, unless part of a complete physical therapy treatment program",14,14,2,ppo_medical,Physical Therapy
"Treatment solely to improve cognition (e.g., memory or perception), concentration and/or attentiveness, organizational or problem-solving skills, academic skills, impulse control or other behaviors for which behavior modification is sought without a physical therapy treatment plan that guides and helps to monitor the provided therapy",14,14,2,ppo_medical,Physical Therapy
Sports medicine for purposes such as prevention of injuries or for conditioning,14,14,2,ppo_medical,Physical Therapy
Prescription Drugs,14,14,1,ppo_medical,
Glucometers,14,14,2,ppo_medical,Prescription Drugs
Continuous glucose monitors,14,14,2,ppo_medical,Prescription Drugs
Insulin delivery monitors,14,14,2,ppo_medical,Prescription Drugs
Test strips for glucometer,14,14,2,ppo_medical,Prescription Drugs
Test strips and lancets,14,14,2,ppo_medical,Prescription Drugs
Continuous glucose monitor sensors,14,14,2,ppo_medical,Prescription Drugs
Insulin delivery reservoirs,14,14,2,ppo_medical,Prescription Drugs
Any prescribed drugs that are medically necessary for the treatment of gender dysphoria and gender affirming services.,14,14,2,ppo_medical,Prescription Drugs
Prescription drugs that we consider to be cosmetic,14,14,2,ppo_medical,Prescription Drugs
Prescription drugs that are experimental or investigational.,14,14,2,ppo_medical,Prescription Drugs
Drugs Received in a Hospital,14,14,2,ppo_medical,Prescription Drugs
Drugs Received in Other Locations,14,14,2,ppo_medical,Prescription Drugs
Drugs Administered by a Physician,14,14,2,ppo_medical,Prescription Drugs
FDA approved,14,14,2,ppo_medical,Prescription Drugs
Ordered or furnished by a physician,14,14,2,ppo_medical,Prescription Drugs
Administered and billed by a physician,14,14,2,ppo_medical,Prescription Drugs
Health Maintenance Examination,14,14,2,ppo_medical,Preventive Care Services
Related reading and interpretation of your test results,14,14,2,ppo_medical,Preventive Care Services
Routine Gynecological Examination,14,14,2,ppo_medical,Preventive Care Services
Morbid Obesity Weight Management,14,14,2,ppo_medical,Preventive Care Services
Tobacco Cessation Programs,14,14,2,ppo_medical,Preventive Care Services
Therapeutic injections,14,14,2,ppo_medical,Professional Services
Prosthetic and Orthotic Devices,14,14,1,ppo_medical,
The cost of purchasing or replacing the device,14,14,2,ppo_medical,Prosthetic and Orthotic Devices
The cost of developing and fitting the basic device,14,14,2,ppo_medical,Prosthetic and Orthotic Devices
Any medically necessary special features,14,14,2,ppo_medical,Prosthetic and Orthotic Devices
"Repairs, limited to the cost of a new device",14,14,2,ppo_medical,Prosthetic and Orthotic Devices
"Hair prostheses such as wigs, hair pieces, hair implants, etc.",14,14,2,ppo_medical,Prosthetic and Orthotic Devices
Experimental prosthetic devices,14,14,2,ppo_medical,Prosthetic and Orthotic Devices
Devices ordered or purchased prior to the certificate’s effective date,14,14,2,ppo_medical,Prosthetic and Orthotic Devices
"Nonrigid devices and supplies such as elastic stockings, garter belts, and corsets",14,14,2,ppo_medical,Prosthetic and Orthotic Devices
Diagnostic Radiology Services,14,14,2,ppo_medical,Radiology Services
"Procedures not directly related and necessary to diagnose a disease, illness, pregnancy or injury",14,14,2,ppo_medical,Radiology Services
Skilled Nursing Facility Services,14,14,1,ppo_medical,
"A semiprivate room, including general nursing service, meals and special diets",14,14,2,ppo_medical,Skilled Nursing Facility Services
Special treatment rooms,14,14,2,ppo_medical,Skilled Nursing Facility Services
Oxygen and other gas therapy,14,14,2,ppo_medical,Skilled Nursing Facility Services
"Drugs, biologicals and solutions",14,14,2,ppo_medical,Skilled Nursing Facility Services
"Gauze, cotton, fabrics, solutions, plaster, and other materials used in dressings and casts",14,14,2,ppo_medical,Skilled Nursing Facility Services
Durable medical equipment used in the facility or outside the facility when rented or purchased from the skilled nursing facility,14,14,2,ppo_medical,Skilled Nursing Facility Services
Physician services (up to two visits per week),14,14,2,ppo_medical,Skilled Nursing Facility Services
Care for senility or developmental disability,14,14,2,ppo_medical,Skilled Nursing Facility Services
Care for substance use disorder,14,14,2,ppo_medical,Skilled Nursing Facility Services
Care for mental illness,14,14,2,ppo_medical,Skilled Nursing Facility Services
Care provided by a nonparticipating skilled nursing facility,14,14,2,ppo_medical,Skilled Nursing Facility Services
Special Medical Foods for Inborn Errors of Metabolism,14,14,1,ppo_medical,
The cost of special medical foods must be higher than the cost of foods or items that are not special medical foods,14,14,2,ppo_medical,Special Medical Foods for Inborn Errors of Metabolism
Medical documentation must support the diagnosis of a covered condition that requires special medical foods,14,14,2,ppo_medical,Special Medical Foods for Inborn Errors of Metabolism
"Nutritional products, supplements, medical foods or any other items provided to treat medical conditions that are not related to the treatment of inborn errors of metabolism",14,14,2,ppo_medical,Special Medical Foods for Inborn Errors of Metabolism
"Foods used by members with inborn errors of metabolism that are not special medical foods, as defined by this certificate",14,14,2,ppo_medical,Special Medical Foods for Inborn Errors of Metabolism
"Nutritional products, supplements or foods used for the member ’s convenience or for weight reduction programs",14,14,2,ppo_medical,Special Medical Foods for Inborn Errors of Metabolism
A maximum of 30 habilitative and 30 rehabilitative outpatient visits per member per calendar year.,14,14,2,ppo_medical,Speech Language Therapy
"Treatment of chronic, developmental or congenital conditions, learning disabilities or inherited speech abnormalities",14,14,2,ppo_medical,Speech Language Therapy
Therapy that is performed without a speech language therapy treatment plan,14,14,2,ppo_medical,Speech Language Therapy
Services provided by speech-language pathology assistants or therapy aides,14,14,2,ppo_medical,Speech Language Therapy
Services received from a nonparticipating freestanding outpatient physical therapy facility or a nonparticipating skilled nursing facility,14,14,2,ppo_medical,Speech Language Therapy
"More than 30 habilitative and 30 rehabilitative outpatient visits per member per calendar year, whether obtained from an in-network or out-of-network provider",14,14,2,ppo_medical,Speech Language Therapy
Use of ambulatory surgery facility,14,14,2,ppo_medical,Surgery
Anesthesia services and materials,14,14,2,ppo_medical,Surgery
"Nursing care by, or under the supervision of, a registered nurse",14,14,2,ppo_medical,Surgery
"Drugs, biologicals, surgical dressings, supplies, splints and casts directly related to providing surgery",14,14,2,ppo_medical,Surgery
Oxygen and other therapeutic gases,14,14,2,ppo_medical,Surgery
"Skin bank, bone bank and other tissue storage costs for supplies and services for the removal of skin, bone or other tissue, as well as the cost of processing and storage",14,14,2,ppo_medical,Surgery
Routine laboratory services related to the surgery or a concurrent medical condition,14,14,2,ppo_medical,Surgery
Services by a nonparticipating ambulatory surgery facility,14,14,2,ppo_medical,Surgery
Temporary Benefits,14,14,1,ppo_medical,
Transplant Services,14,14,1,ppo_medical,
Skin,14,14,2,ppo_medical,Transplant Services
Bone marrow (described below),14,14,2,ppo_medical,Transplant Services
Two tandem transplants,14,14,2,ppo_medical,Transplant Services
Two single transplants,14,14,2,ppo_medical,Transplant Services
A single and a tandem transplant,14,14,2,ppo_medical,Transplant Services
A first degree relative and matches at least four of the six important HLA genetic markers with the member or,14,14,2,ppo_medical,Transplant Services
Not a first degree relative and matches five of the six important HLA genetic markers with the member. (This provision does not apply to transplants for sickle cell anemia (ss or sc) or beta thalassemia.),14,14,2,ppo_medical,Transplant Services
Services that are not BCBSM benefits,14,14,2,ppo_medical,Transplant Services
Services provided to a recipient who is not a BCBSM member,14,14,2,ppo_medical,Transplant Services
Living donor transplants not listed in this certificate,14,14,2,ppo_medical,Transplant Services
Anti-rejection drugs that do not have Food and Drug Administration approval,14,14,2,ppo_medical,Transplant Services
Transportation and lodging costs for circumstances other than those related to the initial transplant surgery and hospitalization,14,14,2,ppo_medical,Transplant Services
Routine storage cost of donor organs for the future purpose of transplantation,14,14,2,ppo_medical,Transplant Services
"Services prior to your organ transplant surgery, such as expenses for evaluation and testing, unless covered elsewhere under this certificate",14,14,2,ppo_medical,Transplant Services
Experimental transplant procedures. See the “General Conditions of Your Contract” section for guidelines related to experimental treatment,14,14,2,ppo_medical,Transplant Services
Urgent Care Services,14,14,1,ppo_medical,
"Telephone, individual face-to-face, and group interventions",14,14,2,ppo_medical,Value Based Programs
"Setting goals by your primary care physician (PCP), your care manager, and yourself to help you manage your health better",14,14,2,ppo_medical,Value Based Programs
Services performed by providers who are not designated as PDCM providers,14,14,2,ppo_medical,Value Based Programs
Services performed by providers outside the state of Michigan,14,14,2,ppo_medical,Value Based Programs
"The service must be provided in a vehicle licensed as a ground or air ambulance, which is part of a licensed ambulance operation.",13,13,2,ppo_medical,Ambulance Services
Treatment must be provided or supervised by one of the following,13,13,2,ppo_medical,Autism Spectrum Disorders
"We do not cover any other services provided by a licensed behavior analyst including, but not limited to, treatment of traumatic brain injuries.",13,13,2,ppo_medical,Autism Spectrum Disorders
The psychologist must have adequate formal university training and supervised experience in ABA.,13,13,2,ppo_medical,Autism Spectrum Disorders
Only covered in an inpatient or outpatient hospital location,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"When administered by, or under the supervision, of a physician",13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Anesthetics for ECT when administered by, or under the supervision of, a physician other than the physician giving the ECT",13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Must be provided by a board-certified psychiatrist in an outpatient setting.,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Inpatient consultations. If a physician needs help diagnosing or treating a member’s condition,",13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided by a nonparticipating hospital,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Care provided by a non-participating psychiatric residential facility,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services that are not focused on improving the member’s functioning,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services that are primarily for maintaining long-term gains made by the member while in another treatment program,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
A residential program that is a long- term substitute for a member’s lack of available supportive living environment within the community,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
A residential program that serves to protect family members and other individuals in the member’s living environment,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services or treatment that are cognitive in nature or supplies related to such services or treatment,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Transitional living centers such as half-way and three-quarter way houses,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Therapeutic boarding schools,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Milieu therapies, such as wilderness program, supportive houses or group homes",13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Domiciliary foster care,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Treatment or programs for sex offenders or perpetrators of sexual or physical violence,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services to hold or confine a member under chemical influence when the member does not require medical treatment,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
A private room or an apartment,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Service provided by a nonparticipating psychiatric residential treatment facility,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Non-medical services including, but not limited to: enrichment programs, dance therapy, art therapy, music therapy, equine therapy, yoga and other movement therapies, ropes courses, guided imagery, consciousness raising, socialization therapy, social outings or preparatory courses or classes. These services may be paid as part of a treatment program but they are not payable separately.",13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
A partial hospitalization program described in the PHP section of this document,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Acute detoxification when provided in a participating hospital,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services must be medically necessary to treat the member’s condition.,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services in a residential substance abuse treatment facility must be preapproved by BCBSM.,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services must be provided by a participating substance abuse treatment facility.,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Supplies and equipment used for subacute detoxification or rehabilitation,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Professional and trained staff and program services necessary for care and treatment of the member,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Individual and group therapy or counseling,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Therapy and counseling for family members,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Dispensing methadone or testing of urine specimens unless the member is receiving therapy, counseling or psychological testing",13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided beyond the period necessary for the member’s care and treatment,13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Services provided by a qualified provider, including but not limited to a physician, fully licensed psychologist, certified nurse practitioner, clinical nurse specialist-certified, clinical licensed master’s social worker, licensed professional counselor, limited licensed psychologists, or licensed marriage and family therapist, or other professional provider as determined by BCBSM",13,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"For new patients, we pay for one office visit every 36 months. A new patient is one who has not received chiropractic services within the past 36 months.",13,13,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
"For established patients, we pay for office visits. An established patient is one who has received chiropractic services within the past 36 months.",13,13,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
A signed treatment plan is not required for the first physical medicine service your chiropractor performs on you.,13,13,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
Participating hospitals,13,13,2,ppo_medical,Chronic Disease Management
Physicians,13,13,2,ppo_medical,Chronic Disease Management
Participating facilities,13,13,2,ppo_medical,Chronic Disease Management
Certified licensed social workers,13,13,2,ppo_medical,Chronic Disease Management
Psychologists,13,13,2,ppo_medical,Chronic Disease Management
Physical therapists,13,13,2,ppo_medical,Chronic Disease Management
Life-threatening condition,13,13,2,ppo_medical,Clinical Trials (Routine Patient Costs)
Routine patient costs,13,13,2,ppo_medical,Clinical Trials (Routine Patient Costs)
Qualified individual,13,13,2,ppo_medical,Clinical Trials (Routine Patient Costs)
The appropriateness of a drug for your condition,13,13,2,ppo_medical,Collaborative Care Management
The correct drug dosage,13,13,2,ppo_medical,Collaborative Care Management
The right time to take the drug,13,13,2,ppo_medical,Collaborative Care Management
Bleeding or clotting abnormalities,13,13,2,ppo_medical,Dental Services
Unstable angina,13,13,2,ppo_medical,Dental Services
Severe respiratory disease,13,13,2,ppo_medical,Dental Services
"Known reaction to analgesics, anesthetics, etc.",13,13,2,ppo_medical,Dental Services
Thyroid function,13,13,2,ppo_medical,Diagnostic Services
Electrocardiogram (EKG),13,13,2,ppo_medical,Diagnostic Services
Electroencephalogram (EEG),13,13,2,ppo_medical,Diagnostic Services
Pulmonary function studies,13,13,2,ppo_medical,Diagnostic Services
Electromyogram (EMG),13,13,2,ppo_medical,Diagnostic Services
Nerve conduction,13,13,2,ppo_medical,Diagnostic Services
We pay for standard office lab tests in your physician’s office. Other lab tests must be sent to a laboratory.,13,13,2,ppo_medical,Diagnostic Services
You will need to pay the out-of-network cost-share if tests are done by an out-of-network lab or in an out-of-network hospital.,13,13,2,ppo_medical,Diagnostic Services
"The treatment must be arranged by the member’s physician and the physician director, or a committee of staff physicians of a self-dialysis training program",13,13,2,ppo_medical,Dialysis Services
The owner of the member’s home must give the hospital prior written permission to install the equipment.,13,13,2,ppo_medical,Dialysis Services
Continuous ambulatory peritoneal dialysis and self-dialysis training with the number of training sessions limited according to Medicare guidelines,13,13,2,ppo_medical,Dialysis Services
A participating hospital (when you are discharged),13,13,2,ppo_medical,Durable Medical Equipment
A DME supplier,13,13,2,ppo_medical,Durable Medical Equipment
Short-term general inpatient care when the member is admitted for pain control or to manage symptoms. (These services are payable if they meet the plan of care established for the member.),13,13,2,ppo_medical,Hospice Care Services
Other than those furnished by the hospice program.,13,13,2,ppo_medical,Hospice Care Services
"Drugs required for infusion therapy. Since specialty pharmaceuticals may be used in infusion therapy, please see the Prior Authorization for Specialty Pharmaceuticals requirement described on",13,13,2,ppo_medical,Infusion Therapy
Medically necessary genetic testing,13,13,2,ppo_medical,Maternity Care
Vaginal delivery or cesarean section when provided in,13,13,2,ppo_medical,Maternity Care
A participating hospital setting,13,13,2,ppo_medical,Maternity Care
"A hospital-affiliated birthing center that is owned and operated by a participating state- licensed and accredited hospital, as defined by BCBSM",13,13,2,ppo_medical,Maternity Care
A member’s home,13,13,2,ppo_medical,Maternity Care
"Postnatal care, including a Papanicolaou (Pap) smear during the six-week visit.",13,13,2,ppo_medical,Maternity Care
Lactation education and alternative fertility awareness counseling,13,13,2,ppo_medical,Maternity Care
Ostomy sets and accessories,13,13,2,ppo_medical,Medical Supplies
The exam must be given by a physician other than the anesthesiologist or the birth parent’s attending physician.,13,13,2,ppo_medical,Newborn Care
A combined maximum of 30 habilitative and a combined maximum of 30 rehabilitative outpatient visits per member per year.,13,13,2,ppo_medical,Occupational Therapy
Services received from an independent sports medicine clinic,13,13,2,ppo_medical,Occupational Therapy
Part of a comprehensive rehabilitation plan,13,13,2,ppo_medical,Occupational Therapy
Services that are not medically necessary (see Section 7 for the definition of “medically necessary”),13,13,2,ppo_medical,Oncology Clinical Trials
"If you get services from an optometrist who does not participate in BCBSM’s vision program, they will be treated as services of a nonparticipating provider.",13,13,2,ppo_medical,Optometrist Services
Services and medical supplies to treat and control diabetes when prescribed by a physician or other professional provider licensed to prescribe it. Services and supplies include,13,13,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
"Part of a comprehensive rehabilitation plan, and",13,13,2,ppo_medical,Physical Therapy
Select diabetic supplies and devices when prescribed by a physician or other professional provider licensed to prescribe it. Select diabetic supplies and devices include,13,13,2,ppo_medical,Prescription Drugs
“Preferred” devices will be covered at 100% of our approved amount. “Nonpreferred” devices will be subject to your nonpreferred brand-name drugs cost-share requirement.,13,13,2,ppo_medical,Prescription Drugs
Covered Drugs Obtained from an Out-of-Network Pharmacy,13,13,2,ppo_medical,Prescription Drugs
Payment for non-covered specialty drugs or services.,13,7,2,ppo_medical,Prescription Drugs
Routine Flexible Sigmoidoscopy Examination,13,13,2,ppo_medical,Preventive Care Services
A change in the patient's condition,13,13,2,ppo_medical,Prosthetic and Orthotic Devices
Damage to the device so that it cannot be restored,13,13,2,ppo_medical,Prosthetic and Orthotic Devices
Loss of the device,13,13,2,ppo_medical,Prosthetic and Orthotic Devices
The member’s physician provides a written confirmation indicating that skilled care is needed.,13,13,2,ppo_medical,Skilled Nursing Facility Services
"Treatment solely to improve cognition (e.g., memory or perception), concentration and/or attentiveness, organizational or problem-solving skills, academic skills, impulse control or other behaviors for which behavior modification is sought without a speech language therapy treatment plan that guides and helps to monitor the provided therapy",13,13,2,ppo_medical,Speech Language Therapy
24/7 Virtual Visit,13,13,3,ppo_medical,
Acute Care Facility,13,13,3,ppo_medical,
Administrative Costs,13,13,3,ppo_medical,
Affiliate Cancer Center,13,13,3,ppo_medical,
Alternative Medicines,13,13,3,ppo_medical,
Attending Physician,13,13,3,ppo_medical,
Audiologist,13,13,3,ppo_medical,
Autism Spectrum Disorder Services,13,13,3,ppo_medical,
Benefit Period,13,13,3,ppo_medical,
Biological,13,13,3,ppo_medical,
Blue Cross Plan,13,13,3,ppo_medical,
Blue Shield Plan,13,13,3,ppo_medical,
Carrier,13,13,3,ppo_medical,
Certified Registered Nurse Anesthetist,13,13,3,ppo_medical,
Chronic Condition,13,13,3,ppo_medical,
Clinical Licensed Master’s Social Worker,13,13,3,ppo_medical,
Colony Stimulating Growth Factors,13,13,3,ppo_medical,
Congenital Condition,13,13,3,ppo_medical,
Continuity of Care,13,13,3,ppo_medical,
"Survey, including history, physical exam, and diagnostic laboratory studies",12,12,2,ppo_medical,Allergy Testing and Therapy
"Intradermal, scratch and puncture tests",12,12,2,ppo_medical,Allergy Testing and Therapy
Patch and photo tests,12,12,2,ppo_medical,Allergy Testing and Therapy
Double-blind food challenge test and bronchial challenge test,12,12,2,ppo_medical,Allergy Testing and Therapy
Allergy immunotherapy by injection (allergy shots),12,12,2,ppo_medical,Allergy Testing and Therapy
"Injections of antiallergen, antihistamine, bronchodilator or antispasmodic agents",12,12,2,ppo_medical,Allergy Testing and Therapy
Behavioral Health Treatment (BHT) – Evidence-based counseling is part of BHT. A licensed psychologist must perform or supervise this treatment. The psychologist must have adequate formal university training and supervised experience in BHT.,12,12,2,ppo_medical,Autism Spectrum Disorders
Psychological care – It includes a psychologist’s direct or consulting services. The psychologist must be licensed in the state of practice.,12,12,2,ppo_medical,Autism Spectrum Disorders
Therapeutic care – Evidence-based services from licensed providers. It includes,12,12,2,ppo_medical,Autism Spectrum Disorders
Nutritional therapy,12,12,2,ppo_medical,Autism Spectrum Disorders
Psychiatric Intensive Outpatient Program (IOP),12,12,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services to treat temporomandibular joint dysfunction (TMJ) limited to those described below,12,12,2,ppo_medical,Dental Services
Medically necessary professional and facility services for the treatment of gender dysphoria.,12,12,2,ppo_medical,Gender Affirming Services
Newborn services provided during the first 48 or 96 hours if the newborn has not been added to the BCBSM contract of the birth parent. These services include,12,12,2,ppo_medical,Maternity Care
"Services to treat a newborn’s injury, sickness, congenital defects or birth abnormalities",12,12,2,ppo_medical,Maternity Care
Purging or positive stem cell selection of bone marrow or peripheral blood stem cells,12,12,2,ppo_medical,Oncology Clinical Trials
Harvesting and storage (both covered even if it is not covered by the donor’s insurance) of the donor’s,12,12,2,ppo_medical,Oncology Clinical Trials
$60 per day for travel,12,12,2,ppo_medical,Oncology Clinical Trials
$50 per day for lodging,12,12,2,ppo_medical,Oncology Clinical Trials
Licensed in the state of Michigan,12,12,2,ppo_medical,Optometrist Services
Certified by the Michigan Board of Optometry to administer and prescribe therapeutic pharmaceutical agents,12,12,2,ppo_medical,Optometrist Services
Self-management training is considered medically necessary upon diagnosis by an M.D. or D.O.,12,12,2,ppo_medical,Outpatient Diabetes Management Program (ODMP)
Your M.D. or D.O. diagnoses a significant change with long-term implications in your symptoms or conditions that necessitate changes in your self-management or a significant change in medical protocol or treatment.,12,12,2,ppo_medical,Outpatient Diabetes Management Program (ODMP)
A combined maximum of 30 habilitative and a combined maximum of 30 rehabilitative outpatient visits per member per calendar year.,12,12,2,ppo_medical,Occupational Therapy | Physical Therapy
Diabetic supplies will be subject to your preferred brand-name drug and/or nonpreferred brand- name drugs cost-share requirement.,12,12,2,ppo_medical,Prescription Drugs
"One per member, per calendar year",12,12,2,ppo_medical,Preventive Care Services
"Two visits per member, per calendar year",12,12,2,ppo_medical,Preventive Care Services
"Screening, counseling and prescription drugs to help you stop smoking",12,12,2,ppo_medical,Preventive Care Services
"Voluntary sterilization of female reproductive organs including tubal ligation and related charges associated with the procedure (anesthesia, labs, etc.).",12,12,2,ppo_medical,Preventive Care Services
Depo-Provera and Intrauterine Devices (IUD),12,12,2,ppo_medical,Preventive Care Services
Diaphragms (when performed in the physician’s office),12,12,2,ppo_medical,Preventive Care Services
Not listed in this certificate or,12,12,2,ppo_medical,Contraceptive Services | Preventive Care Services
Not required to be covered under PPACA,12,12,2,ppo_medical,Contraceptive Services | Preventive Care Services
"When services of interns, residents or other physicians employed by the hospital are available at the time of surgery or",12,12,2,ppo_medical,Surgery
When services are provided in a location other than a hospital or ambulatory surgery facility,12,12,2,ppo_medical,Surgery
The appropriateness of the drug for your condition,12,12,2,ppo_medical,Value Based Programs
The correct dosage,12,12,2,ppo_medical,Value Based Programs
When to take the drug,12,12,2,ppo_medical,Value Based Programs
Accredited Hospital,12,12,3,ppo_medical,
Licensed Behavior Analyst,12,12,3,ppo_medical,
Autism Evaluation Center,12,12,3,ppo_medical,
Bite Splint,12,12,3,ppo_medical,Dental Services
Contraceptive Medication,12,12,3,ppo_medical,
Cost Sharing,11,11,3,"dental,ppo_medical,vision",
Covered Services,11,11,3,"dental,ppo_medical,vision",Audiologist Services
"A specialist office, home, virtual or outpatient visit",11,11,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
An office consultation with a specialist,11,11,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
A pre-surgical consultation with a specialist,11,11,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
Autism spectrum disorder services (including ABA) when performed by a participating LBA or other provider acting within their scope of practice.,11,11,2,ppo_medical,Autism Spectrum Disorders
Outpatient mental health therapy,11,11,2,ppo_medical,Autism Spectrum Disorders
Room and board,11,11,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
General nursing services,11,11,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Drugs, biologicals and solutions used in the facility",11,11,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Outpatient substance use disorder services for the treatment of tobacco dependence,11,11,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Physical therapy, speech language therapy, and occupational therapy when provided to control symptoms and maintain the member’s daily activities and basic functional skills",11,11,2,ppo_medical,Hospice Care Services
Preventive drugs,11,11,2,ppo_medical,Prescription Drugs
Select immunization vaccines,11,11,2,ppo_medical,Prescription Drugs
Supplements,11,11,2,ppo_medical,Prescription Drugs
Vitamins,11,11,2,ppo_medical,Prescription Drugs
Dispensed by an in-network pharmacy and,11,11,2,ppo_medical,Prescription Drugs
"Approved by the FDA, when FDA approval is available and",11,11,2,ppo_medical,Prescription Drugs
Meet coverage criteria required under the Patient Protection and Affordable Care Act.,11,11,2,ppo_medical,Prescription Drugs
"If an in-network provider does a covered preventive test, and a Michigan out-of-network provider reads and interprets the test results, we will pay the claim from the Michigan out-of-network provider as if it were an in-network claim. You will not have to pay your out-of-network cost share for this claim. You will pay out-of-network cost share if an out-of-state out-of-network provider read and the interprets the test results.",11,11,2,ppo_medical,Preventive Care Services
