canonical_name,total_mentions,document_count,tiers_present,profiles_present,parent_headers
Adverse Benefit Decision,19,19,3,"dental,ppo_medical,vision",
Appeals,19,19,3,"dental,ppo_medical,vision",
Approved Amount,19,19,3,"dental,ppo_medical,vision",
BCBSM,19,19,3,"dental,ppo_medical,vision",
Calendar Year,19,19,3,"dental,ppo_medical,vision",
Cancellation,19,19,3,"dental,ppo_medical,vision",
Certificate,19,19,3,"dental,ppo_medical,vision",
Claim for Damages,19,19,3,"dental,ppo_medical,vision",
Coinsurance,19,19,3,"dental,ppo_medical,vision",
Alveoloplasty,19,14,"2,3",ppo_medical,Contraceptive Services | Dental Services
Genetic testing,18,18,"2,3","dental,ppo_medical,vision",Autism Spectrum Disorders
Specialty drugs obtained from any provider other than our exclusive pharmacy network for specialty drugs.,18,14,2,ppo_medical,Prescription Drugs
More than 30 visits a year for combined outpatient cardiac or pulmonary rehabilitation services,18,14,2,ppo_medical,Cardiac Rehabilitation | Pulmonary Rehabilitation
Billing,17,17,3,"ppo_medical,vision",
Contract,17,17,3,"dental,ppo_medical,vision",
24/7 virtual visits only when performed through the Blue Cross selected vendor app,17,17,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
Administration of blood,17,14,2,ppo_medical,Surgery
Autism Spectrum Disorders,16,14,"1,3",ppo_medical,
Dental Services,16,16,"1,3","dental,ppo_medical",
Laboratory examinations,16,16,"2,3","dental,ppo_medical",Class I – Diagnostic and Preventive Services | Skilled Nursing Facility Services
Ambulatory Surgery Facility,16,14,"2,3",ppo_medical,Surgery
Copayment,15,15,3,"dental,ppo_medical,vision",
Harvesting (including peripheral blood stem cell pheresis) and storage of bone marrow and/or peripheral blood stem cells,15,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Infusion of bone marrow and/or peripheral blood stem cells,15,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Specialty Pharmaceuticals,15,13,"2,3",ppo_medical,Prescription Drugs
Contraceptive Drugs,15,9,"2,3",ppo_medical,Preventive Care Services
Allergy Therapy,14,14,2,ppo_medical,Allergy Testing and Therapy
Fungal or bacterial skin tests (such as those given for tuberculosis or diphtheria),14,14,2,ppo_medical,Allergy Testing and Therapy
"Self-administered, over-the-counter drugs",14,14,2,ppo_medical,Allergy Testing and Therapy
"Psychological testing, evaluation, or therapy for allergies",14,14,2,ppo_medical,Allergy Testing and Therapy
"Environmental studies, evaluation, or control",14,14,2,ppo_medical,Allergy Testing and Therapy
A member to be taken to the nearest approved destination capable of providing the level of care necessary to treat the member’s condition,14,14,2,ppo_medical,Ambulance Services
The ambulance arrives at the scene but transport is not needed or is refused.,14,14,2,ppo_medical,Ambulance Services
The ambulance arrives at the scene but the member has expired.,14,14,2,ppo_medical,Ambulance Services
Non-emergent air ambulance services between covered destinations,14,14,2,ppo_medical,Ambulance Services
"The transfer must be preapproved and prescribed by the attending physician, and",14,14,2,ppo_medical,Ambulance Services
The member will be taken to the nearest approved location capable of providing the level of care necessary to treat the member’s condition,14,14,2,ppo_medical,Ambulance Services
No other means of transportation are available,14,14,2,ppo_medical,Ambulance Services
The member ’s condition requires transportation by air ambulance rather than ground ambulance,14,14,2,ppo_medical,Ambulance Services
The provider is not a commercial airline,14,14,2,ppo_medical,Ambulance Services
The member is taken to the nearest facility capable of treating the member 's condition.,14,14,2,ppo_medical,Ambulance Services
"Services provided by fire departments, rescue squads or other emergency transport providers whose fees are in the form of donations.",14,14,2,ppo_medical,Ambulance Services
Air ambulance services when the member’s condition does not require air ambulance transport.,14,14,2,ppo_medical,Ambulance Services
Air ambulance services when a hospital or air ambulance provider is required to pay for the transport under the law.,14,14,2,ppo_medical,Ambulance Services
Anesthesiology Services,14,14,1,ppo_medical,
Anesthesiology during surgery,14,14,2,ppo_medical,Anesthesiology Services
Directly supervised by the physician performing the surgery or procedure or,14,14,2,ppo_medical,Anesthesiology Services
Under the indirect supervision of the physician responsible for anesthesiology services,14,14,2,ppo_medical,Anesthesiology Services
Anesthesia during infusion therapy,14,14,2,ppo_medical,Anesthesiology Services
Other Services,14,14,2,ppo_medical,Anesthesiology Services
Audiologist Services,14,14,1,ppo_medical,
"Services performed by an audiologist, if they are prescribed by a provider who is legally authorized to prescribe the services.",14,14,2,ppo_medical,Audiologist Services
Diagnostic services provided by a qualified provider.,14,14,2,ppo_medical,Autism Spectrum Disorders
Treatment prescribed by a physician or licensed psychologist,14,14,2,ppo_medical,Autism Spectrum Disorders
Behavioral Health Services (Mental Health and Substance Use Disorder),14,14,1,ppo_medical,
Electroconvulsive Therapy (ECT),14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Transcranial Magnetic Stimulation (TMS),14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Inpatient Hospital Mental Health Services,14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Psychiatric Partial Hospitalization Program (PHP),14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Outpatient Psychiatric Care Facility, Office Setting, Online and Virtual",14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Services provided by a qualified provider, including but not limited to a physician, fully licensed psychologist, certified nurse practitioner, clinical nurse specialist-certified, clinical licensed master’s social worker, licensed professional counselor, limited licensed psychologists, or licensed marriage and family therapist, or other professional provider as determined by BCBSM in a participating outpatient psychiatric care facility or an office setting",14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Residential and Outpatient Substance Abuse Treatment Facility,14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Substance Use Disorder Partial Hospitalization Program (PHP),14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Outpatient Psychiatric Care Facility and Office Setting,14,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Services that began during a hospital admission for an invasive cardiovascular procedure (e.g., heart surgery) or an acute cardiovascular event (e.g., heart attack)",14,14,2,ppo_medical,Cardiac Rehabilitation
Ordered by a physician for the treatment of a specific type of malignant disease,14,14,2,ppo_medical,Chemotherapy
Provided as part of a chemotherapy program and,14,14,2,ppo_medical,Chemotherapy
Approved by the Food and Drug Administration (FDA) for use in chemotherapy treatment,14,14,2,ppo_medical,Chemotherapy
Current medical literature must confirm that the drug is effective for the disease being treated,14,14,2,ppo_medical,Chemotherapy
Recognized oncology organizations must generally accept the drug as treatment for the specific disease,14,14,2,ppo_medical,Chemotherapy
The physician must obtain informed consent from the member for the treatment.,14,14,2,ppo_medical,Chemotherapy
Chiropractic Services and Osteopathic Manipulative Therapy,14,14,1,ppo_medical,
Osteopathic manipulation therapy (OMT) on any location of the body,14,14,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
Chiropractic spinal manipulation (CSM) to treat misaligned or displaced vertebrae of the spine and chiropractic manipulations (CM) to treat other areas of the body allowed by BCBSM,14,14,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
