benefit_name,topic_ids,tree_paths
0789 - Reserved,23868,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/TELEMEDICINE/0789 - RESERVED
0790 - General classification for lithotripsy,23865,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/LITHOTRIPSY/0790 - GENERAL CLASSIFICATION FOR LITHOTRIPSY
0799 - Reserved,23866,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/LITHOTRIPSY/0799 - RESERVED
0800 - General classification for inpatient renal dialysis,20244,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/INPATIENT RENAL DIALYSIS/0800 - GENERAL CLASSIFICATION
0801 - Inpatient Hemodialysis,20245,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/INPATIENT RENAL DIALYSIS/0801 - INPATIENT HEMODIALYSIS
0802 - Inpatient Peritoneal (Non-CAPD) Dialysis,20246,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/INPATIENT RENAL DIALYSIS/0802 - INPATIENT PERITONEAL (NON-CAPD) DIALYSIS
0803 - Inpatient Continuous Ambulatory Peritoneal Dialysis (CAPD),20247,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/INPATIENT RENAL DIALYSIS/0803 - INPATIENT CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD)
0804 - Inpatient Continuous Cycling Peritoneal Dialysis (CCPD),20248,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/INPATIENT RENAL DIALYSIS/0804 - INPATIENT CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD)
0809 - Other Inpatient Dialysis,20249,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/INPATIENT RENAL DIALYSIS/0809 - OTHER INPATIENT DIALYSIS
0810 - General Classification,60533,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/SURGICAL CHARGES/TRANSPLANTATION CHARGES/ACQUISITION OF BODY COMPONENTS/DONOR FACILITY CHARGES/0810 - GENERAL CLASSIFICATION
0811 - Living Donor,60534,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/SURGICAL CHARGES/TRANSPLANTATION CHARGES/ACQUISITION OF BODY COMPONENTS/DONOR FACILITY CHARGES/0811 - LIVING DONOR
0812 - Cadaver Donor,60535,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/SURGICAL CHARGES/TRANSPLANTATION CHARGES/ACQUISITION OF BODY COMPONENTS/DONOR FACILITY CHARGES/0812 - CADAVER DONOR
0813 - Unknown donor,60536,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/SURGICAL CHARGES/TRANSPLANTATION CHARGES/ACQUISITION OF BODY COMPONENTS/DONOR FACILITY CHARGES/0813 - UNKNOWN DONOR
0814 - Unsuccessful Organ Search-Donor Bank Charges,23856,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/SURGICAL CHARGES/TRANSPLANTATION CHARGES/ACQUISITION OF BODY COMPONENTS/DONOR FACILITY CHARGES/0814 - UNSUCCESSFUL ORGAN SEARCH-DONOR BANK CHARGES
0815 - Allogeneic Stem Cell Acquisition,2362648,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/SURGICAL CHARGES/TRANSPLANTATION CHARGES/ACQUISITION OF BODY COMPONENTS/DONOR FACILITY CHARGES/0815 - ALLOGENEIC STEM CELL ACQUISITION
0819 - Other Donor,60538,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/SURGICAL CHARGES/TRANSPLANTATION CHARGES/ACQUISITION OF BODY COMPONENTS/DONOR FACILITY CHARGES/0819 - OTHER DONOR
0820 - General Classification,23818,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS/0820 - GENERAL CLASSIFICATION
0821 - Hemodialysis/Composite or Other Rate,23819,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS/0821 - HEMODIALYSIS/COMPOSITE OR OTHER RATE
0822 - Home Supplies,23820,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS/0822 - HOME SUPPLIES
0823 - Home Equipment,23821,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS/0823 - HOME EQUIPMENT
0824 - Maintenance/100%,23822,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS/0824 - MAINTENANCE/100%
0825 - Support Services,23823,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS/0825 - SUPPORT SERVICES
0829 - Other Outpatient Hemodialysis,23824,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS/0829 - OTHER OUTPATIENT HEMODIALYSIS
0830 - General classification for outpatient or home hemodialysis,20250,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS/0830 - GENERAL CLASSIFICATION
0831 - Peritoneal/Composite or Other Rate,20251,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS/0831 - PERITONEAL/COMPOSITE OR OTHER RATE
0832 - Home Supplies,20252,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS/0832 - HOME SUPPLIES
0833 - Home Equipment,20253,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS/0833 - HOME EQUIPMENT
0834 - Maintenance/100%,20254,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS/0834 - MAINTENANCE/100%
0835 - Support Services,20255,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS/0835 - SUPPORT SERVICES
0839 - Other Outpatient Peritoneal Dialysis,20256,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS/0839 - OTHER OUTPATIENT PERITONEAL DIALYSIS
0840 - General classification for outpatient or home continuous ambulatory peritoneal dialysis,20237,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS/0840 - GENERAL CLASSIFICATION
0841 - CAPD/Composite or Other Rate,20238,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS/0841 - CAPD/COMPOSITE OR OTHER RATE
0842 - Home Supplies,20239,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS/0842 - HOME SUPPLIES
0843 - Home Equipment,20240,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS/0843 - HOME EQUIPMENT
0844 - Maintenance 100%,20241,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS/0844 - MAINTENANCE 100%
0845 - Support Services,20242,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS/0845 - SUPPORT SERVICES
0849 - Other Outpatient CAPD,20243,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS/0849 - OTHER OUTPATIENT CAPD
0850 - General classification for outpatient or home continuous cycling peritoneal dialysis,20230,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS/0850 - GENERAL CLASSIFICATION
0851 - CCPD/Composite or Other Rate,20231,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS/0851 - CCPD/COMPOSITE OR OTHER RATE
0852 - Home Supplies,20232,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS/0852 - HOME SUPPLIES
0853 - Home Equipment,20233,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS/0853 - HOME EQUIPMENT
0854 - Maintenance 100%,20234,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS/0854 - MAINTENANCE 100%
0855 - Support Services,20235,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS/0855 - SUPPORT SERVICES
0859 - Other Outpatient CCPD,20236,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS/0859 - OTHER OUTPATIENT CCPD
0860 - General Classification - MEG,2011978,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/DIAGNOSTIC SERVICES/MAGNETOENCEPHALOGRAPHY (MEG)/0860 - GENERAL CLASSIFICATION - MEG
0861 - Magnetoencephalography (MEG),2011979,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/DIAGNOSTIC SERVICES/MAGNETOENCEPHALOGRAPHY (MEG)/0861 - MAGNETOENCEPHALOGRAPHY (MEG)
0870 - General Classification,2379356,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0870 - GENERAL CLASSIFICATION
0871 - Cell Collection,2379357,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0871 - CELL COLLECTION
0872 - Specialized Biologic Processing and Storage-Prior to Transport,2379358,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0872 - SPECIALIZED BIOLOGIC PROCESSING AND STORAGE-PRIOR TO TRANSPORT
0873 - Storage and Processing after Receipt of Cells from Manufacturer,2379359,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0873 - STORAGE AND PROCESSING AFTER RECEIPT OF CELLS FROM MANUFACTURER
0874 - Infusion of Modified Cells,2379360,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0874 - INFUSION OF MODIFIED CELLS
0875 - Injection of Modified Cells,2379361,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0875 - INJECTION OF MODIFIED CELLS
0880 - General classification for miscellaneous dialysis services,20226,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR MISCELLANEOUS DIALYSIS/0880 - GENERAL CLASSIFICATION
0882 - Home Dialysis Aid Visit,20228,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR MISCELLANEOUS DIALYSIS/0882 - HOME DIALYSIS AID VISIT
0889 - Other miscellaneous dialysis,20229,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR MISCELLANEOUS DIALYSIS/0889 - OTHER MISCELLANEOUS DIALYSIS
0891 - Special Processed Drugs Cell Therapy (a),2379362,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0891 - SPECIAL PROCESSED DRUGS � FDA APPROVED CELL THERAPY
0892 - Special Processed Drugs Gene Therapy (b),2384523,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CHEMOTHERAPY/CELL/GENE THERAPY/0892 - SPECIAL PROCESSED DRUGS - FDA APPROVED GENE THERAPY
0900 - General classification for psychiatric or psychological treatments,23825,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0900 - GENERAL CLASSIFICATION FOR PSYCHIATRIC OR PSYCHOLOGICAL TREATMENTS
0901 - Electroshock Treatment,23826,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0901 - ELECTROSHOCK TREATMENT
0902 - Milieu Therapy,23827,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0902 - MILIEU THERAPY
0903 - Play Therapy,23828,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0903 - PLAY THERAPY
0904 - Activity Therapy,23829,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0904 - ACTIVITY THERAPY
0905 - Intensive Outpatient Services - Psychiatric,63255,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0905 - INTENSIVE OUTPATIENT SERVICES - PSYCHIATRIC
0906 - Intensive Outpatient Services - Chemical Dependency,63256,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0906 - INTENSIVE OUTPATIENT SERVICES - CHEMICAL DEPENDENCY
0907 - Community Behavioral Health Program (Day Treatmemt),63257,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0907 - COMMUNITY BEHAVIORAL HEALTH PROGRAM (DAY TREATMEMT)
0909 - Other Psychiatric/Psychological Treatment,23830,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/BEHAVIORAL HEALTH TREATMENTS/0909 - OTHER PSYCHIATRIC/PSYCHOLOGICAL TREATMENT
0910 - Reserved for National Use,13014,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES/0910 - RESERVED FOR NATIONAL USE
0911 - Rehabilitation,13015,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES/0911 - REHABILITATION
0912 - Partial Hospitalization - Less Intensive,13016,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC PARTIAL HOSPITALIZATION/0912 - PARTIAL HOSPITALIZATION - LESS INTENSIVE
0913 - Partial Hospitalization - Intensive,13017,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC PARTIAL HOSPITALIZATION/0913 - PARTIAL HOSPITALIZATION - INTENSIVE
0914 - Individual Therapy,13018,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES FACILITY CHARGES OR SUBSTANCE ABUSE/0914 - INDIVIDUAL THERAPY
0915 - Group Therapy,13019,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES FACILITY CHARGES OR SUBSTANCE ABUSE/0915 - GROUP THERAPY
0916 - Family Therapy,13020,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES FACILITY CHARGES OR SUBSTANCE ABUSE/0916 - FAMILY THERAPY
0917 - Psych/Bio Feedback,13021,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES FACILITY CHARGES OR SUBSTANCE ABUSE/0917 - PSYCH/BIO FEEDBACK
0918 - Psych/testing,13022,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES FACILITY CHARGES OR SUBSTANCE ABUSE/0918 - PSYCH/TESTING
0919 - Other Behavioral Health Treatments/Services,13023,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PSYCHIATRY AND MENTAL HEALTH/PSYCHIATRIC OR PSYCHOLOGICAL SERVICES FACILITY CHARGES OR SUBSTANCE ABUSE/0919 - OTHER BEHAVIORAL HEALTH TREATMENTS/SERVICES
0920 - General classification for other diagnostic services,24205,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OTHER DIAGNOSTIC SERVICES/0920 - GENERAL CLASSIFICATION FOR OTHER DIAGNOSTIC SERVICES FOR OTHER DIAGNOSTIC SERVICES
0921 - Peripheral Vascular Lab,24206,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/DIAGNOSTIC SERVICES/NON-INVASIVE VASCULAR DIAGNOSTIC STUDIES/0921 - PERIPHERAL VASCULAR LAB
0922 - Electromyelgram,24207,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/DIAGNOSTIC SERVICES/NEUROMUSCULAR PROCEDURES/0922 - ELECTROMYELGRAM
0923 - Pap Smear,24208,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PATHOLOGY AND LABORATORY/OTHER PATHOLOGY AND LABORATORY PROCEDURES/0923 - PAP SMEAR
0924 - Allergy Test,24209,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ALLERGY AND CLINICAL IMMUNOLOGY/0924 - ALLERGY TEST
0925 - Pregnancy Test,24210,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PATHOLOGY AND LABORATORY/OTHER PATHOLOGY AND LABORATORY PROCEDURES/0925 - PREGNANCY TEST
0929 - Other Diagnostic Service,24211,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OTHER DIAGNOSTIC SERVICES/0929 - OTHER DIAGNOSTIC SERVICE
0931 - Medical rehabiliation half day program,24202,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PT,OT,SLP/MEDICAL REHABILITATION DAY PROGRAM/0931 - MEDICAL REHABILIATION HALF DAY PROGRAM"
0932 - Medical rehabilitation full day program,24203,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PT,OT,SLP/MEDICAL REHABILITATION DAY PROGRAM/0932 - MEDICAL REHABILITATION FULL DAY PROGRAM"
0940 - General classification for other therapeutic services,24105,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/OTHER THERAPEUTIC SERVICES/0940 - GENERAL CLASSIFICATION FOR OTHER THERAPEUTIC SERVICES FOR OTHER THERAPEUTIC SERVICES
0942 - Education/Training,24107,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/OTHER THERAPEUTIC SERVICES/0942 - EDUCATION/TRAINING
0943 - Facility charges for cardiac rehabilitation,24108,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/CARDIAC REHABILITATION/0943 - FACILITY CHARGES FOR CARDIAC REHABILITATION
0944 - Facility charges for drug rehabilitation,24109,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/SUBSTANCE ABUSE/0944 - FACILITY CHARGES FOR DRUG REHABILITATION
0945 - Facility charges for alcohol rehabilitation,24110,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/SUBSTANCE ABUSE/0945 - FACILITY CHARGES FOR ALCOHOL REHABILITATION
0946 - Complex Medical Equipment- Routine,24111,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/DURABLE MEDICAL EQUIPMENT/0946 - COMPLEX MEDICAL EQUIPMENT- ROUTINE
0947 - Complex Medical Equipment- Ancillary,24112,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/DURABLE MEDICAL EQUIPMENT/0947 - COMPLEX MEDICAL EQUIPMENT- ANCILLARY
0949 - Other Therapeutic Service,24113,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/OTHER THERAPEUTIC SERVICES/0949 - OTHER THERAPEUTIC SERVICE
0951 - Athletic Training,24115,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PT,OT,SLP/OTHER THERAPEUTIC SERVICES/0951 - ATHLETIC TRAINING"
0952 - Kinesiotherapy,24116,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/PT,OT,SLP/OTHER THERAPEUTIC SERVICES/0952 - KINESIOTHERAPY"
0953 - Chemical dependency (drug and alcohol),2323651,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/SUBSTANCE ABUSE/0953 - CHEMICAL DEPENDENCY (DRUG AND ALCOHOL)
0960 - General classification for facility charges for professional fees,24079,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0960 - GENERAL CLASSIFICATION FOR FACILITY CHARGES FOR PROFESSIONAL FEES
0961 - Psychiatric professional fees,24080,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES/0961 - PSYCHIATRIC PROFESSIONAL FEES
0962 - Ophthalmology professional fees,24081,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0962 - OPHTHALMOLOGY PROFESSIONAL FEES
0963 - Anesthesiologist (MD) professional charges,24082,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ANESTHESIA/0963 - ANESTHESIOLOGIST (MD) PROFESSIONAL CHARGES
0964 - Anesthetist (CRNA) professional charges,24083,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ANESTHESIA/0964 - ANESTHETIST (CRNA) PROFESSIONAL CHARGES
0969 - Other Professional Fee,24084,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0969 - OTHER PROFESSIONAL FEE
0971 - Laboratory professional fees,24085,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0971 - LABORATORY PROFESSIONAL FEES
0972 - Professional charges for diagnostic radiology,24086,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0972 - PROFESSIONAL CHARGES FOR DIAGNOSTIC RADIOLOGY
0973 - Professional charges for therapeutic radiology,24087,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0973 - PROFESSIONAL CHARGES FOR THERAPEUTIC RADIOLOGY
0974 - Professional charges for radiology - nuclear medicine,24088,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0974 - PROFESSIONAL CHARGES FOR RADIOLOGY - NUCLEAR MEDICINE
0975 - Professional charges for operating room,24089,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0975 - PROFESSIONAL CHARGES FOR OPERATING ROOM
0976 - Professional charges for respiratory therapy,24090,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROFESSIONAL FACILITY CHARGES /0976 - PROFESSIONAL CHARGES FOR RESPIRATORY THERAPY
